[2025-07-24T02:25:19.573+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.609+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.613+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T02:30:23.608+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para V, registros: 0
[2025-07-24T02:30:44.961+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:30:45.349+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para G, registros: 0
[2025-07-24T02:30:45.679+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:30:46.389+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para D, registros: 0
[2025-07-24T02:31:08.120+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:31:29.671+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para G, registros: 0
[2025-07-24T02:31:51.564+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para T, registros: 0
[2025-07-24T02:31:52.206+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para M, registros: 0
[2025-07-24T02:31:52.544+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:31:52.880+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para G, registros: 0
[2025-07-24T02:31:53.189+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:32:14.707+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para Y, registros: 0
[2025-07-24T02:32:15.117+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:32:36.548+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para H, registros: 0
[2025-07-24T02:32:57.925+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para T, registros: 0
[2025-07-24T02:32:58.259+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para I, registros: 0
[2025-07-24T02:33:19.682+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:33:41.063+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para H, registros: 0
[2025-07-24T02:33:41.367+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para N, registros: 0
[2025-07-24T02:33:41.686+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para D, registros: 0
[2025-07-24T02:33:42.024+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:03.433+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para J, registros: 0
[2025-07-24T02:34:03.927+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:34:25.327+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para M, registros: 0
[2025-07-24T02:34:25.607+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:25.897+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para M, registros: 0
[2025-07-24T02:34:26.192+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para E, registros: 0
[2025-07-24T02:34:26.575+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para X, registros: 0
[2025-07-24T02:34:26.931+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:27.441+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para N, registros: 0
[2025-07-24T02:34:27.823+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para I, registros: 0
[2025-07-24T02:34:28.123+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:34:28.430+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:28.831+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para P, registros: 0
